name,M,N,K,run,dtype,iterations,pair,baseline_ms,h256_ms,overhead_pct
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,28,14.712900,14.919100,1.4015
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,29,14.804400,14.591800,-1.4361
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,30,14.681500,15.084800,2.7470
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,31,15.208700,14.844300,-2.3960
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,32,15.326500,14.714400,-3.9937
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,33,15.156500,14.690300,-3.0759
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,34,15.371500,14.997900,-2.4305
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,35,14.814500,15.031600,1.4655
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,36,14.993300,15.210600,1.4493
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,37,14.914300,15.081500,1.1211
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,38,15.340600,14.814500,-3.4295
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,39,14.785600,15.208500,2.8602
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,40,14.778700,14.919500,0.9527
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,41,14.802200,14.885400,0.5621
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,42,15.057900,14.884900,-1.1489
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,43,14.721800,14.732200,0.0706
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,44,15.028100,14.642900,-2.5632
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,45,15.089300,15.047300,-0.2783
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,46,15.094600,14.666000,-2.8394
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,47,14.847000,14.720600,-0.8514
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,48,17.703000,15.867800,-10.3666
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,49,14.598800,15.207800,4.1716
klein4_double_ffn_down,4096,3072,9216,sweep,bf16,10,50,15.183600,14.966600,-1.4292
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,0,15.091550,15.223150,0.8720
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,1,17.114750,15.704650,-8.2391
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,2,15.552400,15.460850,-0.5887
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,3,15.028650,15.031800,0.0210
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,4,15.396850,15.414800,0.1166
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,5,15.089800,14.992300,-0.6461
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,6,15.302600,14.689250,-4.0081
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,7,15.292900,15.302000,0.0595
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,8,15.044250,15.424050,2.5246
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,9,15.363950,15.182300,-1.1823
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,10,15.445150,15.034450,-2.6591
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,11,15.299700,15.155900,-0.9399
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,12,15.097200,14.920450,-1.1707
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,13,15.361300,15.340350,-0.1364
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,14,15.299900,15.160200,-0.9131
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,15,15.113350,15.067850,-0.3011
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,16,15.209350,15.055450,-1.0119
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,17,15.177700,15.203850,0.1723
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,18,15.205300,15.498800,1.9302
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,19,15.428500,15.080950,-2.2526
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,20,15.075550,15.061300,-0.0945
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,21,15.110400,15.116050,0.0374
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,22,15.139450,15.009600,-0.8577
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,23,15.281700,15.155450,-0.8262
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,24,15.229250,15.132150,-0.6376
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,25,15.045400,15.061750,0.1087
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,26,15.262400,14.990000,-1.7848
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,27,15.327450,15.122550,-1.3368
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,28,15.059800,15.148850,0.5913
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,29,15.335500,15.277550,-0.3779
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,30,15.165100,15.301450,0.8991
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,31,15.085200,15.322400,1.5724
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,32,15.326450,14.891950,-2.8350
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,33,15.228100,14.934350,-1.9290
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,34,15.185100,14.970550,-1.4129
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,35,15.129100,15.052200,-0.5083
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,36,15.294600,14.987550,-2.0076
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,37,15.149900,15.131500,-0.1215
klein4_double_ffn_down,4096,3072,9216,confirmation,bf16,20,38,15.271600,15.283050,0.0750
